product_url,search_term,product_name,product_price,available_quantity
https://www.takealot.com/med-e-enlarge-male-enlargement-2-x-60-capsules/PLID72479682,Sea Mos Capsules,Med-e-Enlarge Male Enlargement - 2 x 60 Capsules,R 534,61
https://www.takealot.com/no-4-sea-moss-bladderwrack-60-capsules/PLID92091694,Sea Mos Capsules,No 4. Sea Moss + Bladderwrack (60 Capsules),R 250,50
https://www.takealot.com/green-world-deep-sea-fish-oil-capsule/PLID90077433,Sea Mos Capsules,Green World Deep Sea Fish Oil Capsule,R 575,18
https://www.takealot.com/2-packs-of-12-kids-capsule-growing-sponges-sea-animals-zoo-anima/PLID93512462,Sea Mos Capsules,2 Packs of 12 - Kids Capsule Growing Sponges - Sea Animals + Zoo Animals,R 99,147
https://www.takealot.com/savvy-remedy-sea-buckthorn-30-capsules/PLID71712361,Sea Mos Capsules,Savvy Remedy - Sea Buckthorn - 30 Capsules,R 195,97
https://www.takealot.com/sea-animals-capsule-foam-creatures/PLID68908113,Sea Mos Capsules,Sea Animals â€“ Capsule Foam Creatures,R 85,15
https://www.takealot.com/pill-counting-tray-with-spatula-count-daily-meds-sorter/PLID94738385,Sea Mos Capsules,Pill Counting Tray with Spatula Count Daily Meds Sorter,R 499,3
https://www.takealot.com/savvy-remedy-sea-buckthorn-60-capsules/PLID71712362,Sea Mos Capsules,Savvy Remedy - Sea Buckthorn - 60 Capsules,R 295,88
https://www.takealot.com/high-potency-med-e-enlarge-male-enlargement-60-capsules/PLID72732140,Sea Mos Capsules,High Potency Med-e-Enlarge Male Enlargement - 60 Capsules,R 294,64
https://www.takealot.com/health-matrix-nordic-sea-omega-3-2-x-90-capsules/PLID93229332,Sea Mos Capsules,Health Matrix - Nordic Sea - Omega-3 - 2 x 90 Capsules,R 350,26
https://www.takealot.com/just-sea-moss-capsules/PLID95162974,Sea Mos Capsules,Just Sea Moss Capsules,R 189,6
https://www.takealot.com/health-matrix-nordic-sea-omega-3-90-capsules/PLID93212027,Sea Mos Capsules,Health Matrix - Nordic Sea - Omega-3 - 90 Capsules,R 210,1
https://www.takealot.com/sea-moss-capsules/PLID93204200,Sea Mos Capsules,Sea Moss Capsules,R 250,29
https://www.takealot.com/med-e-enlargement-30-s-capsules/PLID93235068,Sea Mos Capsules,Med-E enlargement - 30's Capsules,R 245,2
https://www.takealot.com/med-e-enlarge-male-enlargement-60-capsules/PLID68210941,Sea Mos Capsules,Med-e-Enlarge Male Enlargement - 60 Capsules,R 369,5
